step,phi,danger
266,0.112260,0.6709
267,0.110823,0.6780
268,0.109116,0.6840
269,0.107141,0.6891
270,0.104883,0.6933
271,0.102317,0.6964
272,0.099410,0.6986
273,0.098973,0.6998
274,0.098863,0.6999
275,0.098896,0.6991
276,0.098851,0.6973
277,0.098702,0.6945
278,0.098480,0.6907
279,0.098327,0.6859
280,0.098521,0.6801
281,0.098963,0.6734
282,0.099389,0.6658
283,0.099713,0.6573
284,0.099918,0.6478
285,0.100006,0.6375
286,0.099984,0.6264
287,0.099856,0.6144
288,0.099620,0.6017
289,0.099274,0.5881
290,0.099024,0.5739
291,0.099015,0.5590
292,0.098916,0.5435
293,0.098650,0.5273
294,0.098645,0.5106
295,0.100623,0.4933
296,0.102652,0.4755
297,0.104508,0.4574
298,0.106159,0.4388
299,0.107604,0.4199
300,0.108856,0.4006
301,0.109932,0.3812
302,0.110852,0.3615
303,0.111636,0.3417
304,0.112298,0.3217
305,0.112854,0.3017
306,0.113312,0.2817
307,0.113681,0.2618
308,0.113965,0.2419
309,0.114167,0.2222
310,0.114559,0.2027
311,0.115408,0.1834
312,0.116326,0.1645
313,0.117119,0.1458
314,0.117759,0.1276
315,0.118216,0.1098
316,0.118463,0.0924
317,0.118486,0.0756
318,0.118293,0.0593
319,0.117932,0.0436
320,0.117512,0.0286
321,0.117203,0.0143
322,0.117143,0.0006
323,0.117324,0.0000
324,0.117505,0.0000
325,0.117542,0.0000
326,0.117407,0.0000
327,0.117218,0.0000
328,0.117650,0.0000
329,0.119098,0.0000
330,0.120928,0.0000
331,0.122801,0.0000
332,0.124566,0.0000
333,0.126143,0.0000
334,0.127499,0.0000
335,0.128629,0.0000
336,0.129548,0.0000
337,0.130276,0.0000
338,0.130841,0.0000
339,0.131268,0.0000
340,0.131578,0.0000
341,0.131789,0.0000
342,0.131913,0.0000
343,0.131957,0.0000
344,0.131925,0.0000
345,0.131365,0.0000
346,0.131188,0.0000
347,0.131507,0.0000
348,0.131866,0.0000
349,0.132086,0.0000
350,0.132125,0.0000
351,0.131940,0.0006
352,0.131492,0.0142
353,0.130798,0.0285
354,0.129919,0.0436
355,0.129065,0.0592
356,0.128659,0.0755
357,0.128921,0.0923
358,0.129456,0.1097
359,0.129884,0.1275
360,0.130082,0.1457
361,0.130040,0.1644
362,0.129777,0.1833
363,0.129314,0.2026
364,0.128669,0.2221
365,0.127853,0.2418
366,0.127282,0.2617
