step,phi,danger
266,0.110118,0.6709
267,0.108854,0.6780
268,0.107345,0.6840
269,0.105584,0.6891
270,0.103548,0.6933
271,0.101208,0.6964
272,0.098526,0.6986
273,0.098261,0.6998
274,0.097979,0.6999
275,0.097920,0.6991
276,0.097824,0.6973
277,0.097663,0.6945
278,0.097451,0.6907
279,0.097245,0.6859
280,0.097211,0.6801
281,0.097464,0.6734
282,0.097825,0.6658
283,0.098156,0.6573
284,0.098414,0.6478
285,0.098587,0.6375
286,0.098676,0.6264
287,0.098681,0.6144
288,0.098602,0.6017
289,0.098438,0.5881
290,0.098185,0.5739
291,0.098068,0.5590
292,0.097953,0.5435
293,0.097730,0.5273
294,0.097524,0.5106
295,0.098975,0.4933
296,0.100755,0.4755
297,0.102481,0.4574
298,0.104084,0.4388
299,0.105546,0.4199
300,0.106863,0.4006
301,0.108039,0.3812
302,0.109082,0.3615
303,0.110004,0.3417
304,0.110815,0.3217
305,0.111528,0.3017
306,0.112151,0.2817
307,0.112693,0.2618
308,0.113159,0.2419
309,0.113554,0.2222
310,0.113881,0.2027
311,0.114380,0.1834
312,0.115067,0.1645
313,0.115661,0.1458
314,0.116141,0.1276
315,0.116490,0.1098
316,0.116691,0.0924
317,0.116737,0.0756
318,0.116635,0.0593
319,0.116414,0.0436
320,0.116130,0.0286
321,0.115874,0.0143
322,0.115751,0.0006
323,0.115856,0.0000
324,0.116082,0.0000
325,0.116312,0.0000
326,0.116495,0.0000
327,0.116685,0.0000
328,0.117036,0.0000
329,0.118034,0.0000
330,0.119377,0.0000
331,0.120842,0.0000
332,0.122316,0.0000
333,0.123721,0.0000
334,0.125011,0.0000
335,0.126162,0.0000
336,0.127166,0.0000
337,0.128028,0.0000
338,0.128757,0.0000
339,0.129366,0.0000
340,0.129871,0.0000
341,0.130285,0.0000
342,0.130618,0.0000
343,0.130881,0.0000
344,0.131080,0.0000
345,0.130766,0.0000
346,0.130394,0.0000
347,0.130350,0.0000
348,0.130452,0.0000
349,0.130458,0.0000
350,0.130342,0.0000
351,0.130077,0.0006
352,0.129636,0.0142
353,0.129027,0.0285
354,0.128263,0.0436
355,0.127404,0.0592
356,0.126603,0.0755
357,0.126172,0.0923
358,0.126313,0.1097
359,0.126725,0.1275
360,0.127084,0.1457
361,0.127275,0.1644
362,0.127282,0.1833
363,0.127114,0.2026
364,0.126784,0.2221
365,0.126310,0.2418
366,0.125706,0.2617
367,0.125386,0.2816
368,0.125136,0.3016
369,0.125066,0.3216
370,0.125486,0.3416
371,0.126202,0.3614
372,0.126910,0.3811
373,0.127496,0.4005
374,0.127930,0.4198
375,0.128211,0.4387
376,0.128351,0.4573
377,0.128363,0.4755
378,0.128262,0.4932
379,0.126927,0.5105
380,0.125508,0.5272
381,0.124013,0.5434
382,0.122447,0.5589
383,0.120990,0.5738
384,0.119810,0.5881
385,0.118535,0.6016
386,0.117150,0.6143
