step,phi,danger,altitude,wind_norm,pe
117,0.100765,0.6487,19.7293,0.4967,0.0000
118,0.100657,0.6787,19.7247,0.5267,0.0001
119,0.100536,0.7083,19.7200,0.5562,0.0000
120,0.100400,0.7371,19.7153,0.5850,0.0000
121,0.100251,0.7647,19.7106,0.6125,0.0000
122,0.100093,0.7906,19.7058,0.6384,0.0000
123,0.099927,0.8146,19.7010,0.6624,0.0000
124,0.099758,0.8362,19.6961,0.6839,0.0000
125,0.099591,0.8552,19.6912,0.7029,0.0000
126,0.099428,0.8713,19.6863,0.7189,0.0000
127,0.099273,0.8842,19.6813,0.7318,0.0000
128,0.099132,0.8938,19.6763,0.7413,0.0000
129,0.099008,0.8999,19.6712,0.7474,0.0000
130,0.098909,0.9024,19.6661,0.7499,0.0000
131,0.098832,0.9014,19.6610,0.7488,0.0000
132,0.098775,0.8968,19.6558,0.7442,0.0000
133,0.098851,0.8886,19.6506,0.7360,0.0000
134,0.099005,0.8771,19.6453,0.7245,0.0000
135,0.099176,0.8624,19.6400,0.7097,0.0000
136,0.099358,0.8446,19.6347,0.6918,0.0000
137,0.099545,0.8241,19.6293,0.6713,0.0000
138,0.099735,0.8011,19.6239,0.6482,0.0000
139,0.099926,0.7759,19.6185,0.6231,0.0000
140,0.100114,0.7490,19.6130,0.5961,0.0000
141,0.100297,0.7208,19.6075,0.5678,0.0000
142,0.100473,0.6915,19.6019,0.5385,0.0000
143,0.100641,0.6617,19.5963,0.5087,0.0001
144,0.100801,0.6318,19.5906,0.4787,0.0000
145,0.100953,0.6022,19.5849,0.4490,0.0000
146,0.101095,0.5733,19.5792,0.4201,0.0001
147,0.101224,0.5455,19.5735,0.3923,0.0000
148,0.101341,0.5193,19.5677,0.3661,0.0000
149,0.102523,0.4951,19.5618,0.3418,0.0000
150,0.103627,0.4731,19.5559,0.3198,0.0000
151,0.104653,0.4537,19.5500,0.3003,0.0000
152,0.105600,0.4372,19.5441,0.2837,0.0000
153,0.106469,0.4237,19.5381,0.2703,0.0000
154,0.107263,0.4136,19.5320,0.2601,0.0000
155,0.107984,0.4070,19.5259,0.2534,0.0000
156,0.108643,0.4039,19.5198,0.2503,0.0000
157,0.109255,0.4043,19.5137,0.2507,0.0000
158,0.109808,0.4084,19.5075,0.2547,0.0000
159,0.110350,0.4160,19.5012,0.2623,0.0000
160,0.111033,0.4270,19.4950,0.2732,0.0000
161,0.111673,0.4413,19.4886,0.2875,0.0000
162,0.112272,0.4586,19.4823,0.3047,0.0000
163,0.112834,0.4788,19.4759,0.3248,0.0000
164,0.111326,0.5014,19.4695,0.3474,0.0000
165,0.109668,0.5263,19.4630,0.3722,0.0000
166,0.107827,0.5530,19.4565,0.3989,0.0000
167,0.105762,0.5811,19.4499,0.4270,0.0000
168,0.103425,0.6103,19.4434,0.4561,0.0000
169,0.100763,0.6401,19.4367,0.4859,0.0000
170,0.100659,0.6702,19.4301,0.5159,0.0000
171,0.100542,0.7000,19.4234,0.5457,0.0000
172,0.100412,0.7291,19.4166,0.5748,0.0001
173,0.100270,0.7572,19.4098,0.6028,0.0000
174,0.100117,0.7838,19.4030,0.6293,0.0000
175,0.099956,0.8085,19.3962,0.6540,0.0001
176,0.099792,0.8310,19.3893,0.6765,0.0000
177,0.099626,0.8510,19.3823,0.6964,0.0000
178,0.099465,0.8682,19.3753,0.7135,0.0000
179,0.099311,0.8823,19.3683,0.7275,0.0000
180,0.099168,0.8931,19.3613,0.7383,0.0000
181,0.099040,0.9005,19.3542,0.7456,0.0000
182,0.098936,0.9043,19.3470,0.7494,0.0000
183,0.098863,0.9046,19.3398,0.7497,0.0000
184,0.098810,0.9013,19.3326,0.7463,0.0000
185,0.098779,0.8944,19.3254,0.7394,0.0000
186,0.098929,0.8841,19.3181,0.7290,0.0000
187,0.099098,0.8705,19.3108,0.7153,0.0000
188,0.099278,0.8538,19.3034,0.6986,0.0000
189,0.099466,0.8343,19.2960,0.6790,0.0000
190,0.099658,0.8121,19.2885,0.6568,0.0000
191,0.099850,0.7878,19.2810,0.6324,0.0000
192,0.100040,0.7615,19.2735,0.6060,0.0000
193,0.100225,0.7337,19.2659,0.5782,0.0000
194,0.100404,0.7047,19.2583,0.5492,0.0000
195,0.100575,0.6751,19.2507,0.5195,0.0000
196,0.100737,0.6452,19.2430,0.4895,0.0000
197,0.100891,0.6154,19.2353,0.4597,0.0020
198,0.101020,0.5862,19.2275,0.4304,0.0000
199,0.101173,0.5580,19.2197,0.4022,0.0000
200,0.101292,0.5312,19.2119,0.3753,0.0000
201,0.101395,0.5063,19.2040,0.3503,0.0001
202,0.102563,0.4834,19.1961,0.3274,0.0000
203,0.103651,0.4631,19.1881,0.3070,0.0000
204,0.104659,0.4455,19.1801,0.2894,0.0001
205,0.105585,0.4310,19.1721,0.2748,0.0000
206,0.106435,0.4197,19.1640,0.2634,0.0000
207,0.107207,0.4118,19.1559,0.2554,0.0028
208,0.107909,0.4074,19.1477,0.2510,0.0000
209,0.108560,0.4066,19.1395,0.2501,0.0000
210,0.109155,0.4094,19.1313,0.2529,0.0000
211,0.109692,0.4157,19.1230,0.2591,0.0000
212,0.110366,0.4255,19.1147,0.2689,0.0000
213,0.111035,0.4387,19.1064,0.2820,0.0000
214,0.111662,0.4549,19.0980,0.2982,0.0000
215,0.112249,0.4741,19.0895,0.3173,0.0000
216,0.112799,0.4959,19.0811,0.3390,0.0000
217,0.111280,0.5200,19.0726,0.3631,0.0000
218,0.109614,0.5461,19.0640,0.3891,0.0000
219,0.107765,0.5738,19.0554,0.4167,0.0000
220,0.105694,0.6027,19.0468,0.4456,0.0000
221,0.103353,0.6324,19.0381,0.4752,0.0000
222,0.100688,0.6624,19.0294,0.5051,0.0000
223,0.100576,0.6923,19.0207,0.5350,0.0000
224,0.100450,0.7218,19.0119,0.5644,0.0000
225,0.100311,0.7503,19.0031,0.5928,0.0000
226,0.100160,0.7775,18.9942,0.6200,0.0000
227,0.100001,0.8030,18.9853,0.6454,0.0000
228,0.099836,0.8263,18.9764,0.6687,0.0000
229,0.099669,0.8473,18.9674,0.6895,0.0001
230,0.099506,0.8655,18.9584,0.7077,0.0000
231,0.099347,0.8807,18.9493,0.7229,0.0000
232,0.099199,0.8928,18.9403,0.7348,0.0001
233,0.099065,0.9014,18.9311,0.7434,0.0000
234,0.098952,0.9066,18.9219,0.7485,0.0000
235,0.098868,0.9081,18.9127,0.7500,0.0000
236,0.098808,0.9061,18.9035,0.7479,0.0000
237,0.098768,0.9005,18.8942,0.7422,0.0000
238,0.098855,0.8915,18.8849,0.7331,0.0000
239,0.099019,0.8791,18.8755,0.7206,0.0000
240,0.099196,0.8635,18.8661,0.7050,0.0000
241,0.099382,0.8449,18.8566,0.6863,0.0000
242,0.099574,0.8237,18.8471,0.6651,0.0000
243,0.099767,0.8001,18.8376,0.6414,0.0000
244,0.099960,0.7745,18.8280,0.6157,0.0000
245,0.100148,0.7472,18.8184,0.5883,0.0000
246,0.100329,0.7186,18.8088,0.5597,0.0000
247,0.100503,0.6892,18.7991,0.5302,0.0000
248,0.100669,0.6594,18.7894,0.5003,0.0000
249,0.100825,0.6295,18.7796,0.4704,0.0000
250,0.100973,0.6001,18.7698,0.4408,0.0000
251,0.101109,0.5715,18.7600,0.4122,0.0000
252,0.101233,0.5442,18.7501,0.3848,0.0000
253,0.101342,0.5185,18.7402,0.3591,0.0000
254,0.102517,0.4949,18.7302,0.3354,0.0000
255,0.103613,0.4736,18.7202,0.3140,0.0000
256,0.104629,0.4550,18.7102,0.2954,0.0000
257,0.105566,0.4394,18.7001,0.2796,0.0000
258,0.106425,0.4269,18.6900,0.2671,0.0001
259,0.107208,0.4178,18.6799,0.2579,0.0000
260,0.107921,0.4121,18.6697,0.2522,0.0000
261,0.108574,0.4101,18.6594,0.2500,0.0001
262,0.109179,0.4116,18.6492,0.2515,0.0000
263,0.109724,0.4167,18.6389,0.2565,0.0000
264,0.110325,0.4253,18.6285,0.2650,0.0000
265,0.111003,0.4373,18.6181,0.2769,0.0000
266,0.111637,0.4524,18.6077,0.2920,0.0000
267,0.112232,0.4706,18.5972,0.3101,0.0000
268,0.112790,0.4915,18.5867,0.3309,0.0000
269,0.111280,0.5149,18.5762,0.3542,0.0000
270,0.109620,0.5403,18.5656,0.3795,0.0000
271,0.107777,0.5675,18.5550,0.4066,0.0000
272,0.105712,0.5960,18.5443,0.4351,0.0000
273,0.103375,0.6254,18.5336,0.4644,0.0000
274,0.100713,0.6554,18.5229,0.4943,0.0000
275,0.100605,0.6854,18.5121,0.5243,0.0000
276,0.100483,0.7151,18.5012,0.5539,0.0000
277,0.100347,0.7441,18.4904,0.5827,0.0000
278,0.100199,0.7718,18.4795,0.6104,0.0000
279,0.100041,0.7979,18.4686,0.6364,0.0000
280,0.099877,0.8221,18.4576,0.6605,0.0000
281,0.099709,0.8440,18.4466,0.6823,0.0000
282,0.099543,0.8632,18.4355,0.7015,0.0000
283,0.099381,0.8796,18.4244,0.7178,0.0000
284,0.099229,0.8928,18.4133,0.7309,0.0000
285,0.099088,0.9027,18.4021,0.7407,0.0000
286,0.098940,0.9091,18.3909,0.7471,0.0001
287,0.098952,0.9120,18.3796,0.7499,0.0000
288,0.099020,0.9113,18.3684,0.7491,0.0000
