step,phi,danger,speed,slip,friction,pe
99,0.131170,0.0000,1.0395,0.0000,1.0000,0.0000
100,0.131174,0.0000,1.0500,0.0000,1.0000,0.0000
101,0.131178,0.0000,1.0605,0.0000,1.0000,0.0000
102,0.131182,0.0000,1.0710,0.0000,1.0000,0.0000
103,0.131186,0.0000,1.0815,0.0000,1.0000,0.0000
104,0.131190,0.0000,1.0919,0.0000,1.0000,0.0000
105,0.131194,0.0000,1.1024,0.0000,1.0000,0.0000
106,0.131198,0.0000,1.1129,0.0000,1.0000,0.0000
107,0.131202,0.0000,1.1234,0.0000,1.0000,0.0000
108,0.131205,0.0000,1.1339,0.0000,1.0000,0.0000
109,0.131209,0.0000,1.1444,0.0000,1.0000,0.0000
110,0.131213,0.0000,1.1549,0.0000,1.0000,0.0000
111,0.131217,0.0000,1.1653,0.0000,1.0000,0.0000
112,0.131220,0.0000,1.1758,0.0000,1.0000,0.0000
113,0.131224,0.0000,1.1863,0.0000,1.0000,0.0000
114,0.131227,0.0000,1.1968,0.0000,1.0000,0.0000
115,0.131231,0.0000,1.2073,0.0000,1.0000,0.0000
116,0.131234,0.0000,1.2178,0.0000,1.0000,0.0000
117,0.131238,0.0000,1.2283,0.0000,1.0000,0.0000
118,0.131241,0.0000,1.2387,0.0000,1.0000,0.0000
119,0.131244,0.0000,1.2492,0.0000,1.0000,0.0000
120,0.131247,0.0000,1.2597,0.0000,1.0000,0.0000
121,0.131251,0.0000,1.2702,0.0000,1.0000,0.0000
122,0.131254,0.0000,1.2807,0.0000,1.0000,0.0000
123,0.131257,0.0000,1.2912,0.0000,1.0000,0.0000
124,0.131260,0.0000,1.3016,0.0000,1.0000,0.0000
125,0.131263,0.0000,1.3121,0.0000,1.0000,0.0000
126,0.131266,0.0000,1.3226,0.0000,1.0000,0.0000
127,0.131269,0.0000,1.3331,0.0000,1.0000,0.0000
128,0.131272,0.0000,1.3436,0.0000,1.0000,0.0000
129,0.131275,0.0000,1.3541,0.0000,1.0000,0.0000
130,0.131277,0.0000,1.3645,0.0000,1.0000,0.0000
131,0.131280,0.0000,1.3750,0.0000,1.0000,0.0000
132,0.131283,0.0000,1.3855,0.0000,1.0000,0.0000
133,0.131285,0.0000,1.3960,0.0000,1.0000,0.0000
134,0.131261,0.0000,1.4065,0.0000,1.0000,0.0000
135,0.131596,0.0000,1.4170,0.0000,1.0000,0.0000
136,0.131162,0.0000,1.4274,0.0000,1.0000,0.0000
137,0.131207,0.0000,1.4379,0.0000,1.0000,0.0000
138,0.131237,0.0000,1.4484,0.0000,1.0000,0.0000
139,0.131257,0.0000,1.4589,0.0000,1.0000,0.0000
140,0.131269,0.0000,1.4694,0.0000,1.0000,0.0000
141,0.131278,0.0000,1.4799,0.0000,1.0000,0.0000
142,0.131257,0.0000,1.4903,0.0000,1.0000,0.0000
143,0.131600,0.0000,1.5008,0.0000,1.0000,0.0000
144,0.131165,0.0000,1.5113,0.0000,1.0000,0.0000
145,0.131208,0.0000,1.5218,0.0000,1.0000,0.0000
146,0.131238,0.0000,1.5323,0.0000,1.0000,0.0000
147,0.131258,0.0000,1.5428,0.0000,1.0000,0.0000
148,0.131271,0.0000,1.5532,0.0000,1.0000,0.0341
149,0.131543,0.0000,1.5637,0.0000,1.0000,0.0000
150,0.131260,0.0000,1.5742,0.0000,1.0000,0.0000
151,0.131669,0.0000,1.5847,0.0000,1.0000,0.0000
152,0.131210,0.0000,1.5952,0.0000,1.0000,0.0000
153,0.131212,0.0000,1.6056,0.0000,1.0000,0.0000
154,0.131225,0.0000,1.6161,0.0000,1.0000,0.0000
155,0.131250,0.0000,1.6266,0.0000,1.0000,0.0000
156,0.131266,0.0000,1.6371,0.0000,1.0000,0.0000
157,0.131277,0.0000,1.6476,0.0000,1.0000,0.0000
158,0.131285,0.0000,1.6580,0.0000,1.0000,0.0000
159,0.131263,0.0000,1.6685,0.0000,1.0000,0.0000
160,0.131602,0.0000,1.6790,0.0000,1.0000,0.0000
161,0.131173,0.0000,1.6895,0.0000,1.0000,0.0000
162,0.131214,0.0000,1.7000,0.0000,1.0000,0.0000
163,0.131244,0.0000,1.7105,0.0000,1.0000,0.0000
164,0.131264,0.0000,1.7209,0.0000,1.0000,0.0000
165,0.131276,0.0000,1.7314,0.0000,1.0000,0.0000
166,0.131285,0.0000,1.7419,0.0000,1.0000,0.0000
167,0.131264,0.0000,1.7524,0.0000,1.0000,0.0000
168,0.131602,0.0000,1.7628,0.0000,1.0000,0.0000
169,0.131174,0.0000,1.7733,0.0000,1.0000,0.0000
170,0.131215,0.0000,1.7838,0.0000,1.0000,0.0000
171,0.131246,0.0000,1.7943,0.0000,1.0000,0.0000
172,0.131265,0.0000,1.8048,0.0000,1.0000,0.0000
173,0.131278,0.0000,1.8152,0.0000,1.0000,0.0000
174,0.131287,0.0000,1.8257,0.0000,1.0000,0.0000
175,0.131266,0.0000,1.8362,0.0000,1.0000,0.0000
176,0.131603,0.0000,1.8467,0.0000,1.0000,0.0000
177,0.131176,0.0000,1.8572,0.0000,1.0000,0.0000
178,0.131217,0.0000,1.8676,0.0000,1.0000,0.0000
179,0.131248,0.0000,1.8781,0.0000,1.0000,0.0000
180,0.131267,0.0000,1.8886,0.0000,1.0000,0.0000
181,0.131280,0.0000,1.8991,0.0000,1.0000,0.0000
182,0.131288,0.0000,1.9095,0.0000,1.0000,0.0000
183,0.131267,0.0000,1.9200,0.0000,1.0000,0.0000
184,0.131603,0.0000,1.9305,0.0000,1.0000,0.0000
185,0.131178,0.0000,1.9410,0.0000,1.0000,0.0000
186,0.131219,0.0000,1.9515,0.0000,1.0000,0.0000
187,0.131249,0.0000,1.9619,0.0000,1.0000,0.0000
188,0.131269,0.0000,1.9724,0.0000,1.0000,0.0000
189,0.131281,0.0000,1.9829,0.0000,1.0000,0.0000
190,0.131290,0.0000,1.9934,0.0000,1.0000,0.0000
191,0.131269,0.0000,2.0038,0.0000,1.0000,0.0000
192,0.131603,0.0000,2.0143,0.0000,1.0000,0.0000
193,0.131180,0.0000,2.0248,0.0000,1.0000,0.0000
194,0.131221,0.0000,2.0353,0.0000,1.0000,0.0000
195,0.131251,0.0000,2.0457,0.0000,1.0000,0.0000
196,0.131270,0.0000,2.0562,0.0000,1.0000,0.0000
197,0.131283,0.0000,2.0667,0.0000,1.0000,0.0000
198,0.131292,0.0000,2.0772,0.0000,1.0000,0.0000
199,0.131271,0.0000,2.0877,0.0000,1.0000,0.0000
200,0.131604,0.0000,2.0981,0.0000,1.0000,0.0000
201,0.131183,0.0000,2.1086,0.0000,1.0000,0.0000
202,0.131223,0.0000,2.1191,0.0000,1.0000,0.0000
203,0.131253,0.0000,2.1296,0.0000,1.0000,0.0000
204,0.131272,0.0000,2.1400,0.0000,1.0000,0.0000
205,0.131285,0.0000,2.1505,0.0000,1.0000,0.0000
206,0.131293,0.0000,2.1610,0.0000,1.0000,0.0000
207,0.131272,0.0000,2.1715,0.0000,1.0000,0.0000
208,0.131604,0.0000,2.1819,0.0000,1.0000,0.0000
209,0.131185,0.0000,2.1924,0.0000,1.0000,0.0000
210,0.131224,0.0000,2.2029,0.0000,1.0000,0.0000
211,0.131255,0.0000,2.2133,0.0000,1.0000,0.0000
212,0.131274,0.0000,2.2238,0.0000,1.0000,0.0000
213,0.131287,0.0000,2.2343,0.0000,1.0000,0.0000
214,0.131295,0.0000,2.2448,0.0000,1.0000,0.0000
215,0.131255,0.5200,2.2552,0.0000,0.3500,0.0000
216,0.128888,0.5200,2.2657,0.0000,0.3500,0.0003
217,0.126899,0.5204,2.2762,0.0019,0.3500,0.0002
218,0.125200,0.5208,2.2867,0.0041,0.3500,0.0000
219,0.123738,0.5213,2.2971,0.0067,0.3500,0.0000
220,0.122434,0.5219,2.3076,0.0095,0.3500,0.0000
221,0.121194,0.5225,2.3181,0.0124,0.3500,0.0000
222,0.119982,0.5231,2.3285,0.0156,0.3500,0.0000
223,0.118782,0.5237,2.3390,0.0187,0.3500,0.0000
224,0.117580,0.5244,2.3495,0.0219,0.3500,0.0000
225,0.116365,0.5250,2.3600,0.0251,0.3500,0.0000
226,0.115120,0.5256,2.3704,0.0282,0.3500,0.0000
227,0.113826,0.5262,2.3809,0.0312,0.3500,0.0000
228,0.112461,0.5268,2.3914,0.0340,0.3500,0.0000
229,0.111000,0.5273,2.4018,0.0367,0.3500,0.0000
230,0.109412,0.5278,2.4123,0.0392,0.3500,0.0000
231,0.107660,0.5283,2.4228,0.0415,0.3500,0.0000
232,0.105701,0.5287,2.4333,0.0436,0.3500,0.0000
233,0.103482,0.5291,2.4437,0.0456,0.3500,0.0000
234,0.100946,0.5295,2.4542,0.0476,0.3500,0.0000
235,0.100940,0.5299,2.4647,0.0494,0.3500,0.0000
236,0.100937,0.5303,2.4751,0.0513,0.3500,0.0591
237,0.101139,0.5307,2.4856,0.0533,0.3500,0.0000
238,0.101024,0.5311,2.4961,0.0554,0.3500,0.0000
239,0.100986,0.5315,2.5065,0.0577,0.3500,0.0000
240,0.100962,0.5321,2.5170,0.0604,0.3500,0.0000
241,0.100953,0.5327,2.5275,0.0634,0.3500,0.0000
242,0.100949,0.5334,2.5380,0.0669,0.3500,0.0000
243,0.100947,0.5342,2.5484,0.0710,0.3500,0.0000
244,0.100947,0.5351,2.5589,0.0756,0.3500,0.0652
245,0.101156,0.5362,2.5694,0.0810,0.3500,0.0000
246,0.101038,0.5374,2.5798,0.0871,0.3500,0.0000
247,0.100997,0.5388,2.5903,0.0940,0.3500,0.0247
248,0.100995,0.5403,2.6008,0.1017,0.3500,0.0000
249,0.101000,0.5421,2.6112,0.1103,0.3500,0.0000
250,0.100989,0.5440,2.6217,0.1198,0.3500,0.0000
251,0.100980,0.5460,2.6322,0.1301,0.3500,0.0000
252,0.100973,0.5483,2.6426,0.1414,0.3500,0.0129
253,0.100989,0.5507,2.6531,0.1535,0.3500,0.0261
254,0.101009,0.5533,2.6636,0.1665,0.3500,0.0002
255,0.100986,0.5561,2.6740,0.1803,0.3500,0.0083
256,0.100938,0.5590,2.6845,0.1948,0.3500,0.0000
257,0.100966,0.5620,2.6950,0.2102,0.3500,0.0000
258,0.100952,0.5653,2.7054,0.2263,0.3500,0.0056
259,0.100935,0.5686,2.7159,0.2431,0.3500,0.0139
260,0.100946,0.5721,2.7264,0.2605,0.3500,0.0000
261,0.100934,0.5757,2.7368,0.2786,0.3500,0.0041
262,0.100901,0.5794,2.7473,0.2972,0.3500,0.0000
263,0.100910,0.5833,2.7578,0.3165,0.3500,0.0117
264,0.100912,0.5873,2.7682,0.3363,0.3500,0.0000
265,0.100897,0.5913,2.7787,0.3567,0.3500,0.0025
266,0.100872,0.5955,2.7892,0.3777,0.3500,0.0000
267,0.100876,0.5998,2.7996,0.3992,0.3500,0.0063
268,0.100875,0.6043,2.8101,0.4213,0.3500,0.0020
269,0.100855,0.6088,2.8205,0.4440,0.3500,0.0000
270,0.100859,0.6135,2.8310,0.4674,0.3500,0.0017
