step,phi,danger,depth,current_norm,chemical,pe
99,0.100447,0.5352,9.9998,0.5904,0.8000,0.0000
100,0.100452,0.5345,9.9998,0.5890,0.8000,0.0000
101,0.100458,0.5338,9.9997,0.5875,0.8000,0.0000
102,0.100464,0.5330,9.9997,0.5860,0.8000,0.0000
103,0.100469,0.5321,9.9997,0.5843,0.8000,0.0000
104,0.100475,0.5313,9.9997,0.5825,0.8000,0.0000
105,0.100481,0.5303,9.9997,0.5806,0.8000,0.0000
106,0.100487,0.5293,9.9997,0.5787,0.8000,0.0000
107,0.100494,0.5283,9.9997,0.5766,0.8000,0.0000
108,0.100500,0.5273,9.9997,0.5745,0.8000,0.0000
109,0.100506,0.5261,9.9997,0.5723,0.8000,0.0000
110,0.100513,0.5250,9.9997,0.5700,0.8000,0.0000
111,0.100520,0.5238,9.9997,0.5676,0.8000,0.0000
112,0.100527,0.5225,9.9997,0.5651,0.8000,0.0000
113,0.100534,0.5213,9.9997,0.5625,0.8000,0.0000
114,0.100541,0.5199,9.9997,0.5599,0.8000,0.0000
115,0.100548,0.5186,9.9997,0.5571,0.8000,0.0000
116,0.100556,0.5172,9.9997,0.5543,0.8000,0.0000
117,0.103838,0.3057,9.9997,0.5514,0.1000,0.0000
118,0.104336,0.3042,9.9997,0.5484,0.1000,0.0000
119,0.104970,0.3027,9.9997,0.5453,0.1000,0.0000
120,0.105717,0.3011,9.9996,0.5422,0.1000,0.0000
121,0.106506,0.2995,9.9996,0.5390,0.1000,0.0000
122,0.107280,0.2978,9.9996,0.5357,0.1000,0.0000
123,0.108031,0.2961,9.9996,0.5323,0.1000,0.0000
124,0.108757,0.2944,9.9996,0.5288,0.1000,0.0000
125,0.109459,0.2927,9.9996,0.5253,0.1000,0.0000
126,0.110138,0.2909,9.9996,0.5217,0.1000,0.0000
127,0.110794,0.2890,9.9996,0.5180,0.1000,0.0000
128,0.111430,0.2871,9.9996,0.5143,0.1000,0.0000
129,0.112047,0.2852,9.9996,0.5105,0.1000,0.0000
130,0.112646,0.2833,9.9996,0.5066,0.1000,0.0000
131,0.113229,0.2813,9.9996,0.5026,0.1000,0.0000
132,0.113797,0.2793,9.9996,0.4986,0.1000,0.0000
133,0.114353,0.2773,9.9996,0.4945,0.1000,0.0000
134,0.114896,0.2752,9.9996,0.4904,0.1000,0.0000
135,0.115428,0.2731,9.9996,0.4862,0.1000,0.0000
136,0.115951,0.2710,9.9995,0.4819,0.1000,0.0000
