# Φ-trace trial_0: t,human_dist,pe,danger,phi,gain
TRACE,3.320,2.039,0.0000,0.0000,0.1197,0.3000
TRACE,3.360,2.082,0.0000,0.0000,0.1200,0.3000
TRACE,3.400,2.124,0.0000,0.0000,0.1204,0.3000
TRACE,3.440,2.166,0.0000,0.0000,0.1208,0.3000
TRACE,3.480,2.207,0.0000,0.0000,0.1212,0.3000
TRACE,3.520,2.247,0.0000,0.0000,0.1216,0.3000
TRACE,3.560,2.287,0.0000,0.0000,0.1221,0.3000
TRACE,3.600,2.326,0.0008,0.0000,0.1225,0.3000
TRACE,3.640,2.364,0.0015,0.0000,0.1230,0.3000
TRACE,3.680,2.401,0.0000,0.0000,0.1234,0.3000
TRACE,3.720,2.438,0.0000,0.0000,0.1239,0.3000
TRACE,3.760,2.473,0.0012,0.0000,0.1243,0.3000
TRACE,3.800,2.507,0.0000,0.0000,0.1248,0.3000
TRACE,3.840,2.541,0.0000,0.0000,0.1252,1.0000
TRACE,3.880,2.573,0.0011,0.0000,0.1258,1.0000
TRACE,3.920,2.604,0.0000,0.0000,0.1261,1.0000
TRACE,3.960,2.634,0.0000,0.0000,0.1265,1.0000
TRACE,4.000,2.663,0.0000,0.0000,0.1270,1.0000
TRACE,4.040,2.691,0.0000,0.0000,0.1275,1.0000
TRACE,4.080,2.717,0.0000,0.0000,0.1279,1.0000
TRACE,4.120,2.743,0.0030,0.0000,0.1284,1.0000
TRACE,4.160,2.767,0.0005,0.0000,0.1289,1.0000
TRACE,4.200,2.789,0.0016,0.0000,0.1293,1.0000
TRACE,4.240,2.810,0.0000,0.0000,0.1297,1.0000
TRACE,4.280,2.830,0.0000,0.0000,0.1301,1.0000
TRACE,4.320,2.849,0.0000,0.0000,0.1306,1.0000
TRACE,4.360,2.866,0.0000,0.0000,0.1310,1.0000
TRACE,4.400,2.882,0.0000,0.0000,0.1310,1.0000
TRACE,4.440,2.896,0.0000,0.0000,0.1310,1.0000
TRACE,4.480,2.909,0.0000,0.0000,0.1310,1.0000
TRACE,4.520,2.920,0.0000,0.0000,0.1310,1.0000
TRACE,4.560,2.930,0.0000,0.0000,0.1311,1.0000
TRACE,4.600,2.938,0.0000,0.0000,0.1311,1.0000
TRACE,4.640,2.945,0.0000,0.0000,0.1311,1.0000
TRACE,4.680,2.950,0.0000,0.0000,0.1311,1.0000
TRACE,4.720,2.954,0.0000,0.0000,0.1311,1.0000
TRACE,4.760,2.956,0.0000,0.0000,0.1311,1.0000
TRACE,4.800,2.956,0.0000,0.0000,0.1311,1.0000
TRACE,4.840,2.955,0.0000,0.0000,0.1311,1.0000
TRACE,4.880,2.953,0.0000,0.0000,0.1311,1.0000
TRACE,4.920,2.949,0.0000,0.0000,0.1311,1.0000
TRACE,4.960,2.944,0.0000,0.0000,0.1311,1.0000
TRACE,5.000,2.937,0.0005,0.0000,0.1311,1.0000
TRACE,5.040,2.928,0.0000,0.0000,0.1311,1.0000
TRACE,5.080,2.918,0.0000,0.0000,0.1311,1.0000
TRACE,5.120,2.906,0.0000,0.0000,0.1311,1.0000
