step,phi,danger,altitude,attitude_norm,pe,gust_intensity
495,0.100431,0.6608,0.9999,0.0273,0.0000,0.6471
496,0.100614,0.6366,0.9999,0.0258,0.0046,0.6237
497,0.100781,0.6092,0.9999,0.0242,0.0000,0.5970
498,0.101013,0.5792,0.9999,0.0225,0.0000,0.5679
499,0.101206,0.5475,0.9999,0.0207,0.0020,0.5371
500,0.101383,0.5148,0.9999,0.0189,0.0000,0.5053
501,0.102651,0.4819,0.9999,0.0170,0.0007,0.4734
502,0.103832,0.4497,0.9999,0.0151,0.0000,0.4422
503,0.104953,0.4190,0.9999,0.0132,0.0000,0.4124
504,0.105997,0.3906,0.9999,0.0114,0.0000,0.3849
505,0.106969,0.3651,0.9999,0.0097,0.0000,0.3603
506,0.107867,0.3433,0.9999,0.0081,0.0046,0.3393
507,0.108666,0.3256,0.9999,0.0066,0.0000,0.3224
508,0.109459,0.3125,0.9999,0.0051,0.0004,0.3100
509,0.110139,0.3043,0.9999,0.0037,0.0004,0.3025
510,0.110765,0.3012,0.9999,0.0023,0.0024,0.3000
511,0.111359,0.3032,0.9999,0.0011,0.0007,0.3026
512,0.111878,0.3109,0.9999,0.0011,0.0024,0.3103
513,0.112442,0.3238,0.9999,0.0019,0.0023,0.3228
514,0.113033,0.3416,0.9999,0.0033,0.0000,0.3399
515,0.113570,0.3635,0.9999,0.0048,0.0020,0.3610
516,0.114090,0.3889,0.9999,0.0064,0.0000,0.3857
517,0.114539,0.4173,0.9999,0.0079,0.0000,0.4133
518,0.114962,0.4479,0.9999,0.0095,0.0007,0.4432
519,0.115349,0.4799,0.9999,0.0110,0.0000,0.4744
520,0.113866,0.5126,0.9999,0.0126,0.0000,0.5064
521,0.112288,0.5451,0.9999,0.0140,0.0000,0.5381
522,0.110590,0.5766,0.9999,0.0155,0.0000,0.5689
523,0.108750,0.6064,0.9999,0.0169,0.0000,0.5979
524,0.106738,0.6336,0.9999,0.0182,0.0000,0.6245
525,0.104519,0.6576,0.9999,0.0195,0.0000,0.6478
526,0.102046,0.6778,0.9999,0.0208,0.0000,0.6674
527,0.100368,0.6937,0.9999,0.0220,0.0000,0.6827
528,0.100252,0.7049,0.9999,0.0232,0.0000,0.6933
529,0.100157,0.7111,0.9999,0.0242,0.0020,0.6990
530,0.100097,0.7122,0.9999,0.0252,0.0000,0.6996
531,0.100076,0.7082,0.9999,0.0262,0.0024,0.6951
532,0.100069,0.6992,0.9999,0.0270,0.0004,0.6857
533,0.100203,0.6853,0.9999,0.0278,0.0004,0.6714
534,0.100359,0.6671,0.9999,0.0285,0.0004,0.6528
535,0.100531,0.6449,0.9999,0.0292,0.0004,0.6303
536,0.100714,0.6194,0.9999,0.0298,0.0007,0.6045
537,0.100900,0.5913,0.9999,0.0305,0.0000,0.5760
538,0.101093,0.5612,0.9999,0.0312,0.0000,0.5456
539,0.101276,0.5299,0.9999,0.0320,0.0000,0.5139
540,0.102522,0.4984,0.9999,0.0328,0.0000,0.4820
541,0.103703,0.4673,0.9999,0.0337,0.0000,0.4505
542,0.104816,0.4376,0.9999,0.0347,0.0000,0.4202
543,0.105859,0.4099,0.9999,0.0357,0.0000,0.3920
544,0.106830,0.3850,0.9999,0.0368,0.0000,0.3666
545,0.107730,0.3635,0.9999,0.0379,0.0000,0.3446
546,0.108558,0.3460,0.9999,0.0390,0.0000,0.3265
547,0.109316,0.3329,0.9999,0.0402,0.0007,0.3129
548,0.110001,0.3247,0.9999,0.0413,0.0000,0.3040
549,0.110639,0.3214,0.9999,0.0424,0.0004,0.3002
550,0.111231,0.3232,0.9999,0.0435,0.0007,0.3014
551,0.111772,0.3300,0.9999,0.0446,0.0000,0.3078
552,0.112322,0.3418,0.9999,0.0456,0.0000,0.3190
553,0.112915,0.3582,0.9999,0.0466,0.0000,0.3349
554,0.113464,0.3788,0.9999,0.0476,0.0000,0.3550
555,0.113970,0.4030,0.9999,0.0486,0.0000,0.3787
556,0.114435,0.4304,0.9999,0.0495,0.0000,0.4056
557,0.114860,0.4602,0.9999,0.0505,0.0000,0.4349
558,0.115248,0.4916,0.9999,0.0514,0.0000,0.4659
559,0.113775,0.5239,0.9999,0.0523,0.0000,0.4977
560,0.112201,0.5562,0.9999,0.0532,0.0000,0.5296
561,0.110506,0.5878,0.9999,0.0540,0.0000,0.5607
562,0.108669,0.6177,0.9999,0.0548,0.0000,0.5903
563,0.106658,0.6454,0.9999,0.0555,0.0000,0.6176
564,0.104439,0.6700,0.9999,0.0562,0.0000,0.6419
565,0.101967,0.6909,0.9999,0.0567,0.0000,0.6625
566,0.100288,0.7076,0.9999,0.0571,0.0000,0.6790
567,0.100168,0.7196,0.9999,0.0574,0.0000,0.6909
568,0.100069,0.7267,0.9999,0.0575,0.0027,0.6980
569,0.100007,0.7287,0.9999,0.0575,0.0077,0.7000
570,0.099982,0.7255,0.9999,0.0573,0.0000,0.6968
571,0.099986,0.7172,0.9999,0.0571,0.0000,0.6887
572,0.100089,0.7040,0.9999,0.0566,0.0004,0.6757
573,0.100241,0.6863,0.9999,0.0561,0.0000,0.6583
574,0.100416,0.6645,0.9999,0.0554,0.0000,0.6368
575,0.100600,0.6391,0.9999,0.0546,0.0000,0.6118
576,0.100792,0.6108,0.9999,0.0538,0.0000,0.5839
577,0.100985,0.5803,0.9999,0.0528,0.0000,0.5539
578,0.101176,0.5485,0.9999,0.0518,0.0000,0.5225
579,0.101358,0.5160,0.9999,0.0508,0.0000,0.4906
580,0.102603,0.4837,0.9999,0.0497,0.0000,0.4589
581,0.103779,0.4525,0.9999,0.0485,0.0000,0.4282
582,0.104884,0.4231,0.9999,0.0474,0.0000,0.3994
583,0.105916,0.3963,0.9999,0.0463,0.0027,0.3732
584,0.106855,0.3727,0.9999,0.0452,0.0004,0.3501
585,0.107762,0.3530,0.9999,0.0440,0.0000,0.3310
586,0.108574,0.3375,0.9999,0.0429,0.0004,0.3161
587,0.109310,0.3268,0.9999,0.0418,0.0007,0.3059
588,0.109982,0.3211,0.9999,0.0407,0.0000,0.3007
589,0.110609,0.3204,0.9999,0.0396,0.0000,0.3006
590,0.111190,0.3248,0.9999,0.0385,0.0000,0.3056
591,0.111718,0.3342,0.9999,0.0375,0.0000,0.3155
592,0.112336,0.3484,0.9999,0.0364,0.0000,0.3301
593,0.112919,0.3668,0.9999,0.0354,0.0000,0.3491
594,0.113457,0.3892,0.9999,0.0344,0.0000,0.3720
595,0.113952,0.4148,0.9999,0.0334,0.0000,0.3981
596,0.114406,0.4430,0.9999,0.0324,0.0004,0.4268
597,0.114823,0.4731,0.9999,0.0314,0.0000,0.4574
598,0.113330,0.5044,0.9999,0.0305,0.0000,0.4891
599,0.111728,0.5359,0.9999,0.0297,0.0000,0.5210
600,0.109992,0.5669,0.9999,0.0288,0.0000,0.5525
601,0.108096,0.5965,0.9999,0.0280,0.0000,0.5825
602,0.106007,0.6241,0.9999,0.0272,0.0000,0.6105
603,0.103685,0.6489,0.9999,0.0265,0.0004,0.6357
604,0.101086,0.6702,0.9999,0.0258,0.0004,0.6573
605,0.100419,0.6876,0.9999,0.0251,0.0004,0.6750
606,0.100298,0.7004,0.9999,0.0244,0.0004,0.6882
607,0.100196,0.7084,0.9999,0.0237,0.0000,0.6966
608,0.100124,0.7114,0.9999,0.0230,0.0020,0.6999
609,0.100084,0.7093,0.9999,0.0222,0.0000,0.6982
610,0.100088,0.7021,0.9999,0.0214,0.0000,0.6914
611,0.100163,0.6899,0.9999,0.0205,0.0000,0.6797
612,0.100314,0.6732,0.9999,0.0195,0.0004,0.6634
613,0.100482,0.6522,0.9999,0.0185,0.0000,0.6429
614,0.100669,0.6275,0.9999,0.0173,0.0000,0.6188
615,0.100861,0.5997,0.9999,0.0161,0.0000,0.5917
616,0.101056,0.5696,0.9999,0.0147,0.0000,0.5622
617,0.101251,0.5378,0.9999,0.0133,0.0000,0.5311
618,0.101439,0.5051,0.9999,0.0118,0.0018,0.4992
619,0.102679,0.4725,0.9999,0.0102,0.0018,0.4674
620,0.103867,0.4406,0.9999,0.0085,0.0000,0.4364
621,0.104995,0.4104,0.9999,0.0068,0.0000,0.4070
622,0.106035,0.3825,0.9999,0.0050,0.0004,0.3799
623,0.106999,0.3576,0.9999,0.0033,0.0004,0.3560
624,0.107894,0.3365,0.9999,0.0016,0.0021,0.3357
625,0.108690,0.3201,0.9999,0.0010,0.0042,0.3196
626,0.109412,0.3090,0.9999,0.0017,0.0018,0.3082
627,0.110096,0.3032,0.9999,0.0032,0.0000,0.3016
628,0.110728,0.3024,0.9999,0.0046,0.0032,0.3001
629,0.111313,0.3067,0.9999,0.0060,0.0024,0.3037
630,0.111839,0.3160,0.9999,0.0074,0.0000,0.3123
631,0.112435,0.3301,0.9999,0.0087,0.0000,0.3257
632,0.113021,0.3486,0.9999,0.0101,0.0007,0.3436
633,0.113564,0.3712,0.9999,0.0114,0.0000,0.3655
634,0.114054,0.3971,0.9999,0.0128,0.0000,0.3908
635,0.114509,0.4259,0.9999,0.0141,0.0000,0.4189
636,0.114923,0.4568,0.9999,0.0156,0.0000,0.4490
637,0.115300,0.4890,0.9999,0.0170,0.0000,0.4805
638,0.113817,0.5217,0.9999,0.0184,0.0004,0.5124
639,0.112237,0.5540,0.9999,0.0199,0.0004,0.5441
640,0.110537,0.5853,0.9999,0.0213,0.0000,0.5746
641,0.108695,0.6146,0.9999,0.0227,0.0000,0.6032
642,0.106685,0.6412,0.9999,0.0241,0.0000,0.6292
643,0.104469,0.6645,0.9999,0.0254,0.0020,0.6519
644,0.102009,0.6839,0.9999,0.0265,0.0000,0.6707
645,0.100324,0.6989,0.9999,0.0276,0.0020,0.6851
646,0.100220,0.7090,0.9999,0.0285,0.0004,0.6948
647,0.100124,0.7141,0.9999,0.0292,0.0000,0.6995
648,0.100077,0.7141,0.9999,0.0298,0.0000,0.6992
649,0.100058,0.7089,0.9999,0.0303,0.0000,0.6937
650,0.100076,0.6986,0.9999,0.0307,0.0000,0.6833
651,0.100219,0.6837,0.9999,0.0309,0.0000,0.6682
652,0.100380,0.6644,0.9999,0.0311,0.0000,0.6488
653,0.100558,0.6413,0.9999,0.0313,0.0004,0.6257
654,0.100742,0.6150,0.9999,0.0315,0.0007,0.5993
655,0.100932,0.5862,0.9999,0.0316,0.0004,0.5703
656,0.101125,0.5555,0.9999,0.0318,0.0004,0.5396
657,0.101309,0.5239,0.9999,0.0321,0.0000,0.5079
658,0.102558,0.4921,0.9999,0.0324,0.0004,0.4759
659,0.103735,0.4610,0.9999,0.0327,0.0000,0.4446
660,0.104849,0.4313,0.9999,0.0331,0.0000,0.4147
661,0.105889,0.4037,0.9999,0.0336,0.0004,0.3870
662,0.106854,0.3791,0.9999,0.0340,0.0004,0.3621
663,0.107750,0.3580,0.9999,0.0345,0.0004,0.3408
664,0.108574,0.3410,0.9999,0.0349,0.0004,0.3235
665,0.109326,0.3285,0.9999,0.0354,0.0007,0.3108
666,0.110008,0.3208,0.9999,0.0359,0.0004,0.3029
667,0.110640,0.3182,0.9999,0.0363,0.0000,0.3000
668,0.111229,0.3206,0.9999,0.0368,0.0007,0.3022
669,0.111767,0.3282,0.9999,0.0373,0.0007,0.3095
670,0.112337,0.3405,0.9999,0.0377,0.0004,0.3217
671,0.112924,0.3575,0.9999,0.0382,0.0000,0.3384
672,0.113468,0.3786,0.9999,0.0387,0.0004,0.3592
673,0.113974,0.4032,0.9999,0.0392,0.0007,0.3836
674,0.114437,0.4309,0.9999,0.0397,0.0000,0.4110
675,0.114855,0.4608,0.9999,0.0402,0.0000,0.4407
676,0.115242,0.4923,0.9999,0.0407,0.0004,0.4719
677,0.113771,0.5244,0.9999,0.0413,0.0004,0.5038
678,0.112197,0.5565,0.9999,0.0418,0.0000,0.5356
679,0.110502,0.5877,0.9999,0.0423,0.0000,0.5665
680,0.108667,0.6171,0.9999,0.0427,0.0000,0.5957
681,0.106661,0.6440,0.9999,0.0431,0.0000,0.6225
682,0.104446,0.6679,0.9999,0.0435,0.0000,0.6461
683,0.101978,0.6879,0.9999,0.0438,0.0000,0.6660
684,0.100302,0.7036,0.9999,0.0440,0.0000,0.6816
685,0.100187,0.7147,0.9999,0.0441,0.0024,0.6927
686,0.100101,0.7208,0.9999,0.0441,0.0077,0.6988
687,0.100052,0.7218,0.9999,0.0440,0.0004,0.6998
688,0.100022,0.7176,0.9999,0.0438,0.0000,0.6957
689,0.100027,0.7083,0.9999,0.0435,0.0004,0.6866
690,0.100153,0.6942,0.9999,0.0430,0.0000,0.6727
691,0.100314,0.6757,0.9999,0.0424,0.0000,0.6545
692,0.100489,0.6531,0.9999,0.0417,0.0000,0.6323
693,0.100676,0.6271,0.9999,0.0409,0.0000,0.6067
694,0.100870,0.5983,0.9999,0.0399,0.0000,0.5784
695,0.101064,0.5675,0.9999,0.0389,0.0000,0.5480
696,0.101254,0.5354,0.9999,0.0378,0.0000,0.5165
697,0.101436,0.5028,0.9999,0.0366,0.0004,0.4845
698,0.102678,0.4706,0.9999,0.0353,0.0020,0.4530
699,0.103842,0.4396,0.9999,0.0341,0.0004,0.4226
700,0.104958,0.4106,0.9999,0.0328,0.0000,0.3942
701,0.105988,0.3842,0.9999,0.0314,0.0000,0.3685
702,0.106941,0.3612,0.9999,0.0301,0.0007,0.3462
703,0.107814,0.3422,0.9999,0.0288,0.0000,0.3278
704,0.108626,0.3275,0.9999,0.0274,0.0000,0.3138
705,0.109360,0.3176,0.9999,0.0261,0.0007,0.3045
706,0.110026,0.3127,0.9999,0.0248,0.0000,0.3003
707,0.110651,0.3129,0.9999,0.0235,0.0000,0.3011
708,0.111227,0.3182,0.9999,0.0223,0.0020,0.3071
709,0.111777,0.3284,0.9999,0.0210,0.0000,0.3179
710,0.112386,0.3433,0.9999,0.0198,0.0000,0.3334
711,0.112965,0.3625,0.9999,0.0186,0.0000,0.3532
712,0.113500,0.3854,0.9999,0.0174,0.0000,0.3767
713,0.113991,0.4115,0.9999,0.0163,0.0004,0.4034
714,0.114442,0.4401,0.9999,0.0151,0.0000,0.4325
715,0.114850,0.4704,0.9999,0.0140,0.0000,0.4634
716,0.113357,0.5017,0.9999,0.0130,0.0000,0.4952
717,0.111751,0.5331,0.9999,0.0120,0.0000,0.5271
718,0.110013,0.5639,0.9999,0.0111,0.0000,0.5583
719,0.108116,0.5932,0.9999,0.0102,0.0004,0.5880
720,0.106029,0.6203,0.9999,0.0094,0.0000,0.6155
721,0.103707,0.6444,0.9999,0.0087,0.0000,0.6401
722,0.101108,0.6650,0.9999,0.0080,0.0000,0.6610
723,0.100445,0.6816,0.9999,0.0074,0.0000,0.6779
724,0.100327,0.6936,0.9999,0.0069,0.0000,0.6902
725,0.100203,0.7008,0.9999,0.0063,0.0004,0.6976
726,0.100352,0.7029,0.9999,0.0058,0.0004,0.7000
727,0.100160,0.6999,0.9999,0.0053,0.0007,0.6973
728,0.100128,0.6919,0.9999,0.0048,0.0000,0.6895
729,0.100210,0.6791,0.9999,0.0043,0.0000,0.6769
730,0.100363,0.6617,0.9999,0.0037,0.0000,0.6598
731,0.100537,0.6401,0.9999,0.0031,0.0004,0.6386
732,0.100721,0.6151,0.9999,0.0024,0.0000,0.6139
733,0.100917,0.5870,0.9999,0.0016,0.0020,0.5862
734,0.101100,0.5570,0.9999,0.0013,0.0004,0.5564
735,0.101303,0.5257,0.9999,0.0012,0.0004,0.5251
736,0.102556,0.4937,0.9999,0.0012,0.0020,0.4931
737,0.103731,0.4625,0.9999,0.0022,0.0020,0.4614
738,0.104853,0.4323,0.9999,0.0033,0.0000,0.4306
739,0.105918,0.4039,0.9999,0.0045,0.0020,0.4016
740,0.106884,0.3780,0.9999,0.0057,0.0004,0.3751
741,0.107807,0.3553,0.9999,0.0070,0.0000,0.3518
742,0.108647,0.3365,0.9999,0.0083,0.0000,0.3323
743,0.109414,0.3219,0.9999,0.0097,0.0004,0.3171
744,0.110112,0.3120,0.9999,0.0110,0.0000,0.3065
745,0.110753,0.3071,0.9999,0.0123,0.0004,0.3009
746,0.111352,0.3072,0.9999,0.0137,0.0004,0.3004
747,0.111900,0.3125,0.9999,0.0150,0.0000,0.3050
748,0.112413,0.3227,0.9999,0.0164,0.0007,0.3145
749,0.113018,0.3377,0.9999,0.0177,0.0000,0.3288
750,0.113570,0.3570,0.9999,0.0190,0.0000,0.3475
751,0.114086,0.3802,0.9999,0.0203,0.0000,0.3700
752,0.114560,0.4067,0.9999,0.0216,0.0000,0.3959
753,0.114994,0.4359,0.9999,0.0229,0.0020,0.4245
754,0.115400,0.4670,0.9999,0.0241,0.0000,0.4549
755,0.115746,0.4992,0.9999,0.0253,0.0000,0.4865
756,0.114288,0.5318,0.9999,0.0265,0.0000,0.5185
757,0.112740,0.5638,0.9999,0.0276,0.0000,0.5500
758,0.111086,0.5945,0.9999,0.0286,0.0020,0.5802
759,0.109316,0.6232,0.9999,0.0296,0.0004,0.6084
760,0.107372,0.6490,0.9999,0.0305,0.0004,0.6338
761,0.105254,0.6714,0.9999,0.0313,0.0000,0.6558
762,0.102906,0.6897,0.9999,0.0319,0.0000,0.6738
763,0.100281,0.7036,0.9999,0.0325,0.0000,0.6873
764,0.100173,0.7126,0.9999,0.0329,0.0000,0.6961
765,0.100093,0.7165,0.9999,0.0332,0.0000,0.6999
766,0.100052,0.7152,0.9999,0.0334,0.0000,0.6985
767,0.100040,0.7089,0.9999,0.0335,0.0051,0.6921
768,0.100064,0.6975,0.9999,0.0335,0.0028,0.6808
769,0.100233,0.6815,0.9999,0.0333,0.0024,0.6649
770,0.100404,0.6613,0.9999,0.0331,0.0000,0.6447
771,0.100600,0.6373,0.9999,0.0328,0.0004,0.6209
772,0.100783,0.6102,0.9999,0.0325,0.0000,0.5939
773,0.100976,0.5806,0.9999,0.0321,0.0000,0.5646
774,0.101165,0.5494,0.9999,0.0316,0.0000,0.5336
775,0.101348,0.5174,0.9999,0.0312,0.0004,0.5018
776,0.102593,0.4853,0.9999,0.0308,0.0015,0.4699
777,0.103766,0.4540,0.9999,0.0304,0.0024,0.4388
778,0.104872,0.4242,0.9999,0.0300,0.0000,0.4092
779,0.105929,0.3968,0.9999,0.0296,0.0000,0.3820
780,0.106892,0.3724,0.9999,0.0292,0.0000,0.3578
781,0.107782,0.3517,0.9999,0.0289,0.0000,0.3372
782,0.108600,0.3351,0.9999,0.0286,0.0000,0.3208
783,0.109347,0.3231,0.9999,0.0284,0.0000,0.3089
784,0.110027,0.3160,0.9999,0.0281,0.0000,0.3019
785,0.110653,0.3140,0.9999,0.0279,0.0000,0.3000
786,0.111238,0.3171,0.9999,0.0277,0.0000,0.3032
787,0.111769,0.3252,0.9999,0.0275,0.0000,0.3115
788,0.112355,0.3381,0.9999,0.0273,0.0024,0.3245
789,0.112956,0.3556,0.9999,0.0271,0.0004,0.3420
790,0.113487,0.3771,0.9999,0.0269,0.0000,0.3636
791,0.113989,0.4020,0.9999,0.0268,0.0004,0.3886
792,0.114454,0.4299,0.9999,0.0267,0.0000,0.4165
793,0.114874,0.4598,0.9999,0.0266,0.0000,0.4466
794,0.115260,0.4912,0.9999,0.0265,0.0024,0.4779
795,0.113798,0.5231,0.9999,0.0264,0.0024,0.5099
796,0.112219,0.5548,0.9999,0.0264,0.0004,0.5416
797,0.110513,0.5854,0.9999,0.0264,0.0007,0.5722
798,0.108683,0.6142,0.9999,0.0264,0.0024,0.6010
799,0.106686,0.6404,0.9999,0.0264,0.0015,0.6272
800,0.104467,0.6634,0.9999,0.0264,0.0048,0.6502
801,0.102015,0.6825,0.9999,0.0264,0.0000,0.6693
802,0.100321,0.6973,0.9999,0.0263,0.0000,0.6841
803,0.100216,0.7073,0.9999,0.0262,0.0000,0.6942
804,0.100134,0.7124,0.9999,0.0261,0.0000,0.6993
805,0.100087,0.7123,0.9999,0.0258,0.0004,0.6994
806,0.100068,0.7071,0.9999,0.0255,0.0004,0.6943
807,0.100089,0.6968,0.9999,0.0251,0.0000,0.6843
808,0.100235,0.6819,0.9999,0.0245,0.0000,0.6696
809,0.100398,0.6625,0.9999,0.0239,0.0004,0.6505
810,0.100575,0.6392,0.9999,0.0231,0.0000,0.6276
811,0.100767,0.6126,0.9999,0.0223,0.0000,0.6015
812,0.100961,0.5834,0.9999,0.0213,0.0000,0.5727
813,0.101155,0.5522,0.9999,0.0202,0.0000,0.5421
814,0.101345,0.5199,0.9999,0.0191,0.0000,0.5104
815,0.102598,0.4874,0.9999,0.0178,0.0000,0.4785
816,0.103786,0.4553,0.9999,0.0165,0.0000,0.4471
817,0.104906,0.4246,0.9999,0.0152,0.0000,0.4170
818,0.105955,0.3960,0.9999,0.0138,0.0000,0.3891
819,0.106933,0.3702,0.9999,0.0124,0.0020,0.3640
820,0.107825,0.3479,0.9999,0.0110,0.0000,0.3424
821,0.108677,0.3295,0.9999,0.0096,0.0007,0.3248
822,0.109433,0.3157,0.9999,0.0082,0.0000,0.3116
823,0.110133,0.3067,0.9999,0.0068,0.0007,0.3033
824,0.110764,0.3027,0.9999,0.0054,0.0000,0.3001
825,0.111357,0.3039,0.9999,0.0040,0.0000,0.3019
826,0.111902,0.3101,0.9999,0.0026,0.0021,0.3088
827,0.112452,0.3212,0.9999,0.0013,0.0000,0.3205
828,0.113030,0.3375,0.9999,0.0013,0.0049,0.3369
829,0.113605,0.3581,0.9999,0.0013,0.0000,0.3574
830,0.114075,0.3829,0.9999,0.0026,0.0024,0.3816
831,0.114561,0.4107,0.9999,0.0038,0.0000,0.4088
832,0.114974,0.4408,0.9999,0.0050,0.0000,0.4383
833,0.115366,0.4725,0.9999,0.0062,0.0000,0.4694
834,0.113895,0.5049,0.9999,0.0072,0.0000,0.5013
835,0.112322,0.5372,0.9999,0.0083,0.0000,0.5331
836,0.110627,0.5687,0.9999,0.0092,0.0000,0.5641
837,0.108788,0.5985,0.9999,0.0101,0.0000,0.5935
838,0.106777,0.6259,0.9999,0.0109,0.0000,0.6204
839,0.104557,0.6501,0.9999,0.0115,0.0000,0.6443
840,0.102083,0.6706,0.9999,0.0121,0.0000,0.6646
841,0.100403,0.6869,0.9999,0.0126,0.0000,0.6806
842,0.100285,0.6985,0.9999,0.0131,0.0000,0.6920
843,0.100188,0.7052,0.9999,0.0134,0.0020,0.6985
844,0.100126,0.7067,0.9999,0.0137,0.0000,0.6999
845,0.100102,0.7031,0.9999,0.0139,0.0000,0.6962
846,0.100103,0.6945,0.9999,0.0141,0.0000,0.6875
847,0.100213,0.6811,0.9999,0.0142,0.0004,0.6740
848,0.100368,0.6633,0.9999,0.0144,0.0011,0.6561
849,0.100537,0.6414,0.9999,0.0145,0.0004,0.6342
850,0.100727,0.6162,0.9999,0.0147,0.0000,0.6088
851,0.100919,0.5882,0.9999,0.0149,0.0004,0.5807
852,0.101107,0.5581,0.9999,0.0152,0.0000,0.5505
853,0.101297,0.5268,0.9999,0.0155,0.0000,0.5190
854,0.102546,0.4950,0.9999,0.0159,0.0000,0.4871
855,0.103731,0.4636,0.9999,0.0163,0.0000,0.4554
856,0.104849,0.4333,0.9999,0.0168,0.0000,0.4249
857,0.105897,0.4050,0.9999,0.0173,0.0000,0.3964
858,0.106875,0.3794,0.9999,0.0179,0.0004,0.3704
859,0.107778,0.3571,0.9999,0.0185,0.0000,0.3478
860,0.108616,0.3386,0.9999,0.0191,0.0004,0.3291
861,0.109376,0.3246,0.9999,0.0198,0.0000,0.3147
862,0.110075,0.3153,0.9999,0.0205,0.0000,0.3051
863,0.110710,0.3110,0.9999,0.0212,0.0000,0.3004
864,0.111306,0.3118,0.9999,0.0219,0.0000,0.3009
865,0.111850,0.3177,0.9999,0.0226,0.0000,0.3064
866,0.112381,0.3286,0.9999,0.0233,0.0004,0.3169
867,0.112981,0.3441,0.9999,0.0241,0.0007,0.3320
868,0.113536,0.3639,0.9999,0.0248,0.0004,0.3515
869,0.114044,0.3875,0.9999,0.0255,0.0000,0.3747
870,0.114513,0.4143,0.9999,0.0262,0.0000,0.4012
871,0.114944,0.4436,0.9999,0.0269,0.0020,0.4301
872,0.115348,0.4747,0.9999,0.0276,0.0004,0.4609
873,0.113867,0.5068,0.9999,0.0283,0.0007,0.4926
874,0.112300,0.5390,0.9999,0.0289,0.0004,0.5246
875,0.110607,0.5707,0.9999,0.0296,0.0000,0.5559
876,0.108770,0.6008,0.9999,0.0302,0.0000,0.5858
877,0.106761,0.6288,0.9999,0.0307,0.0000,0.6134
878,0.104540,0.6538,0.9999,0.0311,0.0000,0.6382
879,0.102064,0.6753,0.9999,0.0315,0.0000,0.6595
880,0.100381,0.6926,0.9999,0.0318,0.0000,0.6767
881,0.100260,0.7054,0.9999,0.0320,0.0000,0.6894
882,0.100157,0.7132,0.9999,0.0321,0.0101,0.6972
883,0.100118,0.7160,0.9999,0.0320,0.0004,0.7000
884,0.100062,0.7136,0.9999,0.0319,0.0000,0.6977
885,0.100057,0.7061,0.9999,0.0316,0.0000,0.6903
886,0.100139,0.6937,0.9999,0.0312,0.0004,0.6781
887,0.100288,0.6766,0.9999,0.0306,0.0000,0.6613
888,0.100461,0.6554,0.9999,0.0300,0.0000,0.6404
889,0.100644,0.6306,0.9999,0.0293,0.0000,0.6160
890,0.100835,0.6027,0.9999,0.0284,0.0000,0.5885
891,0.101029,0.5726,0.9999,0.0276,0.0004,0.5588
892,0.101218,0.5409,0.9999,0.0266,0.0020,0.5276
893,0.101394,0.5085,0.9999,0.0257,0.0004,0.4957
894,0.102654,0.4762,0.9999,0.0247,0.0000,0.4639
895,0.103834,0.4448,0.9999,0.0237,0.0007,0.4330
896,0.104936,0.4152,0.9999,0.0227,0.0000,0.4038
897,0.105976,0.3880,0.9999,0.0217,0.0007,0.3771
898,0.106932,0.3639,0.9999,0.0207,0.0000,0.3536
899,0.107826,0.3436,0.9999,0.0198,0.0000,0.3337
900,0.108641,0.3276,0.9999,0.0188,0.0000,0.3181
901,0.109385,0.3162,0.9999,0.0179,0.0000,0.3072
902,0.110061,0.3097,0.9999,0.0171,0.0000,0.3012
903,0.110687,0.3084,0.9999,0.0162,0.0000,0.3003
904,0.111272,0.3121,0.9999,0.0154,0.0020,0.3044
905,0.111808,0.3209,0.9999,0.0146,0.0000,0.3136
906,0.112400,0.3344,0.9999,0.0138,0.0000,0.3275
907,0.112987,0.3524,0.9999,0.0130,0.0004,0.3458
908,0.113531,0.3743,0.9999,0.0123,0.0000,0.3681
909,0.114028,0.3996,1.0000,0.0116,0.0000,0.3938
910,0.114486,0.4276,1.0000,0.0110,0.0000,0.4221
911,0.114904,0.4576,1.0000,0.0103,0.0004,0.4524
912,0.115288,0.4889,1.0000,0.0098,0.0000,0.4840
913,0.113809,0.5206,1.0000,0.0092,0.0000,0.5160
914,0.112234,0.5519,1.0000,0.0088,0.0000,0.5475
915,0.110541,0.5820,1.0000,0.0083,0.0000,0.5779
916,0.108708,0.6102,1.0000,0.0080,0.0000,0.6062
917,0.106705,0.6357,1.0000,0.0076,0.0000,0.6319
918,0.104496,0.6578,1.0000,0.0073,0.0004,0.6541
919,0.102036,0.6760,1.0000,0.0070,0.0004,0.6725
920,0.100367,0.6898,1.0000,0.0068,0.0004,0.6864
921,0.100234,0.6988,1.0000,0.0065,0.0004,0.6956
922,0.100363,0.7029,1.0000,0.0063,0.0000,0.6997
923,0.100165,0.7018,1.0000,0.0060,0.0004,0.6988
924,0.100123,0.6956,1.0000,0.0056,0.0000,0.6928
925,0.100155,0.6845,1.0000,0.0052,0.0000,0.6819
926,0.100305,0.6687,1.0000,0.0047,0.0000,0.6663
927,0.100473,0.6485,1.0000,0.0042,0.0004,0.6465
928,0.100653,0.6247,1.0000,0.0035,0.0000,0.6229
929,0.100846,0.5976,1.0000,0.0028,0.0000,0.5962
930,0.101043,0.5680,1.0000,0.0020,0.0020,0.5670
