step,phi,danger
266,0.116054,0.2968
267,0.116523,0.3096
268,0.116961,0.3244
269,0.117369,0.3410
270,0.117753,0.3593
271,0.118118,0.3788
272,0.118474,0.3993
273,0.118828,0.4205
274,0.119190,0.4422
275,0.119560,0.4639
276,0.119932,0.4853
277,0.118686,0.5062
278,0.117404,0.5262
279,0.116070,0.5450
280,0.114666,0.5624
281,0.113179,0.5781
282,0.111593,0.5918
283,0.109891,0.6034
284,0.108055,0.6126
285,0.106172,0.6195
286,0.104142,0.6237
287,0.101879,0.6253
288,0.099347,0.6242
289,0.099386,0.6205
290,0.099508,0.6142
291,0.099658,0.6054
292,0.099831,0.5941
293,0.100013,0.5807
294,0.100195,0.5651
295,0.100369,0.5477
296,0.100532,0.5288
297,0.100681,0.5085
298,0.101892,0.4872
299,0.103038,0.4651
300,0.104127,0.4426
301,0.105164,0.4200
302,0.106156,0.3977
303,0.107107,0.3758
304,0.108028,0.3549
305,0.108976,0.3350
306,0.109873,0.3166
307,0.110714,0.2999
308,0.111497,0.2852
309,0.112220,0.2725
310,0.112886,0.2622
311,0.113496,0.2544
312,0.114055,0.2491
313,0.114567,0.2465
314,0.115038,0.2466
315,0.115470,0.2494
316,0.115945,0.2549
317,0.116481,0.2629
318,0.116996,0.2734
319,0.117485,0.2861
320,0.117947,0.3011
321,0.118379,0.3179
322,0.118779,0.3364
323,0.119145,0.3563
324,0.119475,0.3773
325,0.119769,0.3992
326,0.120027,0.4215
327,0.120247,0.4441
328,0.120433,0.4665
329,0.120587,0.4885
330,0.119126,0.5098
331,0.117656,0.5299
332,0.116312,0.5488
333,0.114978,0.5660
334,0.113649,0.5813
335,0.112315,0.5946
336,0.110953,0.6056
337,0.109523,0.6142
338,0.107972,0.6203
339,0.106248,0.6238
340,0.104300,0.6246
341,0.102083,0.6228
342,0.100114,0.6183
343,0.100190,0.6113
344,0.100246,0.6018
345,0.100287,0.5900
346,0.100308,0.5761
347,0.100310,0.5603
348,0.100298,0.5427
349,0.100278,0.5238
350,0.100305,0.5037
351,0.101466,0.4827
352,0.102601,0.4612
353,0.103726,0.4395
354,0.104846,0.4179
355,0.105951,0.3967
356,0.107024,0.3762
357,0.108045,0.3568
358,0.109004,0.3387
359,0.109894,0.3222
360,0.110712,0.3075
361,0.111463,0.2949
362,0.112148,0.2845
363,0.112774,0.2765
364,0.113345,0.2711
365,0.113866,0.2683
366,0.114341,0.2682
367,0.114774,0.2707
368,0.115172,0.2759
369,0.115659,0.2837
370,0.116155,0.2940
