step,phi,danger
266,0.130928,0.0304
267,0.130930,0.0307
268,0.130932,0.0309
269,0.130934,0.0313
270,0.130935,0.0316
271,0.130936,0.0321
272,0.130937,0.0325
273,0.130937,0.0330
274,0.130937,0.0336
275,0.130937,0.0342
276,0.130937,0.0349
277,0.130936,0.0356
278,0.130935,0.0363
279,0.130934,0.0371
280,0.130932,0.0380
281,0.130930,0.0389
282,0.130928,0.0398
283,0.130926,0.0408
284,0.130923,0.0418
285,0.130920,0.0429
286,0.130917,0.0440
287,0.130913,0.0452
288,0.130909,0.0464
289,0.130905,0.0476
290,0.130900,0.0489
291,0.130895,0.0502
292,0.130890,0.0516
293,0.130884,0.0530
294,0.130879,0.0545
295,0.130872,0.0560
296,0.130866,0.0575
297,0.130859,0.0591
298,0.130852,0.0607
299,0.130845,0.0624
300,0.130837,0.0641
301,0.130829,0.0658
302,0.130820,0.0676
303,0.130812,0.0694
304,0.130803,0.0712
305,0.130793,0.0731
306,0.130784,0.0750
307,0.130774,0.0770
308,0.130763,0.0789
309,0.130753,0.0810
310,0.130742,0.0830
311,0.130731,0.0851
312,0.130719,0.0872
313,0.130707,0.0893
314,0.130695,0.0915
315,0.130683,0.0937
316,0.130670,0.0959
317,0.130657,0.0981
318,0.130644,0.1004
319,0.130630,0.1027
320,0.130616,0.1051
321,0.130602,0.1074
322,0.130588,0.1098
323,0.130573,0.1122
324,0.130559,0.1146
325,0.130544,0.1170
326,0.130528,0.1195
327,0.130513,0.1220
328,0.130497,0.1245
329,0.130482,0.1270
330,0.130466,0.1295
331,0.130449,0.1321
332,0.130433,0.1346
333,0.130417,0.1372
334,0.130400,0.1398
335,0.130383,0.1424
336,0.130367,0.1450
337,0.130350,0.1477
338,0.130333,0.1503
339,0.130316,0.1530
340,0.130299,0.1556
341,0.130282,0.1583
342,0.130265,0.1610
343,0.130248,0.1637
344,0.130230,0.1663
345,0.130213,0.1690
346,0.130196,0.1717
347,0.130179,0.1744
348,0.130163,0.1771
349,0.130146,0.1798
350,0.130129,0.1825
351,0.134079,0.3952
352,0.132580,0.3979
353,0.131483,0.4006
354,0.130695,0.4033
355,0.130153,0.4060
356,0.129803,0.4087
357,0.129566,0.4113
358,0.129396,0.4140
359,0.129280,0.4167
360,0.129196,0.4193
361,0.129139,0.4220
362,0.129098,0.4246
363,0.129064,0.4272
364,0.129033,0.4298
365,0.129004,0.4324
366,0.128976,0.4350
367,0.128948,0.4376
368,0.128921,0.4401
369,0.128894,0.4427
370,0.128867,0.4452
371,0.128840,0.4477
372,0.128813,0.4502
373,0.128787,0.4526
374,0.128760,0.4551
375,0.128734,0.4575
376,0.128707,0.4599
377,0.128681,0.4623
378,0.128655,0.4646
379,0.128629,0.4670
380,0.128603,0.4693
381,0.128578,0.4716
382,0.128552,0.4738
383,0.128527,0.4760
384,0.128502,0.4782
385,0.128478,0.4804
386,0.128454,0.4825
387,0.128430,0.4846
388,0.128406,0.4867
389,0.128383,0.4888
